Date,AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
2014-02-26,84,PM2.5,I-25,08-031-0027,AQS,99,33,63.6,02/26/2019,02/26/2002
2014-02-27,67,PM2.5,I-25,08-031-0027,AQS,79,37,60.4,02/27/2003,02/27/2000
2014-02-28,65,PM2.5,Alsup Elementry School - Commerce City,08-001-0006,AQS,105,42,62.0,02/28/2001,02/28/2007
2014-03-01,65,PM2.5,I-25,08-031-0027,AQS,88,33,58.4,03/01/2015,03/01/2002
2014-03-02,79,PM2.5,I-25,08-031-0027,AQS,134,38,66.0,03/02/2015,03/02/2009
2014-03-03,59,PM2.5,I-25,08-031-0027,AQS,64,44,55.2,03/03/2016,03/03/2005
2014-03-04,52,PM2.5,I-25,08-031-0027,AQS,130,44,62.6,03/04/2001,03/04/2007
2014-03-05,67,Ozone,Kenosha Pass,08-093-0001,AQS,95,39,70.8,03/05/2019,03/05/2008
2014-03-06,79,PM2.5,I-25,08-031-0027,AQS,153,44,76.0,03/06/2019,03/06/2002
2014-03-07,60,PM2.5,I-25,08-031-0027,AQS,89,44,61.6,03/07/2019,03/07/2003
2014-03-08,53,PM2.5,I-25,08-031-0027,AQS,79,38,55.8,03/08/2019,03/08/2006
2014-03-09,51,Ozone,Kenosha Pass,08-093-0001,AQS,64,42,49.6,03/09/2008,03/09/2009
2014-03-10,56,PM2.5,I-25,08-031-0027,AQS,80,38,50.8,03/10/2013,03/10/2006
2014-03-11,53,PM2.5,I-25,08-031-0027,AQS,64,40,53.2,03/11/2012,03/11/2001
2014-03-12,55,PM2.5,Alsup Elementry School - Commerce City,08-001-0006,AQS,73,37,54.6,03/12/2001,03/12/2007
2014-03-13,54,PM2.5,I-25,08-031-0027,AQS,64,38,50.0,03/13/2011,03/13/2002
2014-03-14,64,Ozone,Kenosha Pass,08-093-0001,AQS,64,41,54.6,03/14/2018,03/14/2002
2014-03-15,51,Ozone,Kenosha Pass,08-093-0001,AQS,84,34,52.6,03/15/2006,03/15/2000
2014-03-16,58,Ozone,Kenosha Pass,08-093-0001,AQS,64,43,55.2,03/16/2001,03/16/2004
2014-03-17,54,Ozone,Kenosha Pass,08-093-0001,AQS,107,30,54.0,03/17/2000,03/17/2003
