datetime,dt_mean,timezone_mean,lat_mean,lon_mean,temp_mean,visibility_mean,dew_point_mean,feels_like_mean,temp_min_mean,temp_max_mean,pressure_mean,sea_level_mean,grnd_level_mean,humidity_mean,wind_speed_mean,wind_deg_mean,wind_gust_mean,rain_1h_mean,rain_3h_mean,snow_1h_mean,snow_3h_mean,clouds_all_mean,weather_id_mean,dt_max,timezone_max,lat_max,lon_max,temp_max,visibility_max,dew_point_max,feels_like_max,temp_min_max,temp_max_max,pressure_max,sea_level_max,grnd_level_max,humidity_max,wind_speed_max,wind_deg_max,wind_gust_max,rain_1h_max,rain_3h_max,snow_1h_max,snow_3h_max,clouds_all_max,weather_id_max,dt_min,timezone_min,lat_min,lon_min,temp_min,visibility_min,dew_point_min,feels_like_min,temp_min_min,temp_max_min,pressure_min,sea_level_min,grnd_level_min,humidity_min,wind_speed_min,wind_deg_min,wind_gust_min,rain_1h_min,rain_3h_min,snow_1h_min,snow_3h_min,clouds_all_min,weather_id_min,dt_std,timezone_std,lat_std,lon_std,temp_std,visibility_std,dew_point_std,feels_like_std,temp_min_std,temp_max_std,pressure_std,sea_level_std,grnd_level_std,humidity_std,wind_speed_std,wind_deg_std,wind_gust_std,rain_1h_std,rain_3h_std,snow_1h_std,snow_3h_std,clouds_all_std,weather_id_std
2014-01-01 00:00:00+00:00,1388575800.0,-25200.0,39.739236,-104.990251,38.08291666666667,,24.33791666666667,34.531666666666666,36.6225,40.778749999999995,1017.5833333333334,,,57.916666666666664,6.0566666666666675,153.41666666666666,10.53875,0.5545454545454546,,0.3425,,75.20833333333333,676.875,1388617200,-25200,39.739236,-104.990251,51.37,,29.75,47.52,48.42,52.21,1029,,,87,19.55,313,25.3,1.33,,0.99,,98,804,1388534400,-25200,39.739236,-104.990251,29.91,,18.39,25.72,29.21,33.3,1011,,,28,1.14,25,2.3,0.2,,0.25,,21,500,25455.84412271571,0.0,0.0,0.0,5.112966023549441,,4.020378501721133,5.650662651919425,4.7668632015832735,5.113726040935235,6.08574004407494,,,18.33010511762516,4.630071524160353,99.52186417705087,7.190054309826934,0.43932592995095654,,0.2616295090390226,,20.03687723362506,143.75713592874192
2014-01-02 00:00:00+00:00,1388662200.0,-25200.0,39.739236,-104.990251,27.430000000000003,,19.035833333333333,25.074166666666667,26.008750000000003,30.15833333333333,1026.2083333333333,,,71.29166666666667,3.0066666666666664,183.0,4.885833333333333,1.1591666666666667,,0.29458333333333336,,26.458333333333332,734.0416666666666,1388703600,-25200,39.739236,-104.990251,46.22,,24.78,46.22,46.22,49.62,1032,,,88,7.02,327,11.5,1.33,,1.78,,85,803,1388620800,-25200,39.739236,-104.990251,16.36,,12.79,8.8,15.22,20.79,1018,,,37,1.14,24,2.3,0.51,,0.18,,0,500,25455.84412271571,0.0,0.0,0.0,9.507078827173308,,3.8198416956348002,11.036660221306974,9.351824891664076,9.50326336017021,3.9560538821963216,,,18.181402745583224,2.0356660413447143,85.79500340168798,2.945134405535113,0.34017791593922386,,0.33510516411194374,,29.854690355652394,109.3102800236125
2014-01-03 00:00:00+00:00,1388748600.0,-25200.0,39.739236,-104.990251,40.91375,,20.462083333333332,39.0225,39.3325,43.74666666666667,1009.75,,,47.666666666666664,5.159166666666667,234.54166666666666,9.530833333333334,0.51,,0.25,,13.333333333333334,800.5833333333334,1388790000,-25200,39.739236,-104.990251,63.16,,29.34,59.83,62.29,63.36,1017,,,75,18.39,349,27.6,0.51,,0.25,,100,804,1388707200,-25200,39.739236,-104.990251,27.27,,15.28,27.1,26.22,29.3,999,,,14,1.14,116,2.3,0.51,,0.25,,0,800,25455.84412271571,0.0,0.0,0.0,12.51496697436974,,3.1757723869356864,11.589117927945425,12.436692294070449,11.571338153673782,5.994562753753999,,,21.42868184926692,4.960615246437523,58.798091633233675,8.56839283629675,0.0,,0.0,,29.85423524927143,1.2825472842090118
2014-01-04 00:00:00+00:00,1388835000.0,-25200.0,39.739236,-104.990251,32.305,,18.83875,27.689166666666665,31.133750000000003,34.017916666666665,1013.25,,,62.75,4.793333333333334,138.20833333333334,10.729999999999999,0.51,,0.315,,75.41666666666667,684.25,1388876400,-25200,39.739236,-104.990251,56.8,,25.3,52.99,54.36,59.29,1024,,,88,13.8,355,24.14,0.51,,0.64,,100,804,1388793600,-25200,39.739236,-104.990251,20.95,,14.63,12.34,20.28,21.63,999,,,17,1.14,4,3.44,0.51,,0.1,,0,600,25455.84412271571,0.0,0.0,0.0,12.250123690591153,,2.6647478263919955,13.88819827944847,11.789644244549681,13.130800491895803,9.624470623499608,,,26.611945666822503,2.390202222964966,132.6649847865133,4.608186477205068,0.0,,0.1331883269464055,,38.46276196493193,101.57723555309373
2014-01-05 00:00:00+00:00,1388921400.0,-25200.0,39.739236,-104.990251,12.393333333333333,,7.810833333333334,7.665416666666666,10.761249999999999,13.907916666666667,1030.2083333333333,,,79.58333333333333,3.986666666666667,214.25,6.4175,0.51,,0.1779166666666667,,71.75,769.0,1388962800,-25200,39.739236,-104.990251,19.33,,15.49,18.21,19.22,20.79,1039,,,87,12.64,360,20.69,0.51,,0.25,,100,804,1388880000,-25200,39.739236,-104.990251,6.48,,1.89,-3.71,5.22,9.79,1024,,,69,1.14,3,2.3,0.51,,0.12,,5,600,25455.84412271571,0.0,0.0,0.0,3.6553958527879993,,4.295380649900103,6.402114446341768,3.6748751087917793,3.5001018359926075,5.548044439390316,,,5.224662807232191,2.797049169744968,126.30131329139232,4.192509106572776,0.0,,0.02963240979307837,,34.32232129577536,77.21567761513988
2014-01-06 00:00:00+00:00,1389007800.0,-25200.0,39.739236,-104.990251,10.935833333333333,,2.0629166666666667,8.155416666666666,9.52375,13.106666666666667,1033.7083333333333,,,66.20833333333333,2.919583333333333,165.08333333333334,5.604583333333333,0.6366666666666667,,0.3145833333333333,,24.666666666666668,742.5,1389049200,-25200,39.739236,-104.990251,37.69,,15.78,37.69,32.41,40.62,1043,,,80,12.64,360,13.8,1.27,,1.02,,87,803,1388966400,-25200,39.739236,-104.990251,0.57,,-5.89,-6.43,0.3,2.79,1023,,,37,1.14,25,1.14,0.51,,0.16,,0,501,25455.84412271571,0.0,0.0,0.0,12.341624484950765,,7.189629898660302,12.442457809475576,11.162819813812824,12.134477888363735,6.286487694749152,,,14.410078498011044,2.4918100268971,84.80407940693638,2.8438537526860745,0.2893270552982148,,0.3236474083436112,,34.498477177061496,106.1369091233623
2014-01-07 00:00:00+00:00,1389094200.0,-25200.0,39.739236,-104.990251,32.239583333333336,,17.868750000000002,30.23875,30.063333333333333,35.30916666666666,1015.6666666666666,,,54.041666666666664,3.0491666666666664,199.66666666666666,6.849166666666666,1.015,,0.25,,55.375,738.9583333333334,1389135600,-25200,39.739236,-104.990251,44.2,,24.49,44.2,42.8,46.29,1022,,,78,6.89,351,12.64,1.27,,0.25,,100,804,1389052800,-25200,39.739236,-104.990251,18.95,,9.68,12.76,15.3,19.31,1011,,,33,1.14,42,2.3,0.25,,0.25,,0,500,25455.84412271571,0.0,0.0,0.0,9.079420820048835,,3.416701069109233,10.157146686168703,9.478988052147425,8.31533414145565,3.143892169113622,,,13.917393454943715,1.4142717181481157,67.00789484094014,2.6354983303495687,0.45117238583398517,,0.0,,46.43350785988404,125.2303891326656
2014-01-08 00:00:00+00:00,1389180600.0,-25200.0,39.739236,-104.990251,31.46291666666667,,21.799166666666665,29.692916666666665,30.308333333333334,33.547916666666666,1017.0416666666666,,,66.54166666666667,2.7075,212.08333333333334,4.16625,0.25,,0.25,,47.125,789.5,1389222000,-25200,39.739236,-104.990251,45.16,,26.28,43.75,43.21,46.63,1021,,,86,5.75,355,10.36,0.25,,0.25,,100,804,1389139200,-25200,39.739236,-104.990251,18.39,,15.06,14.9,17.22,21.29,1012,,,39,1.01,13,1.14,0.25,,0.25,,7,500,25455.84412271571,0.0,0.0,0.0,7.800524218263164,,3.3495553457873712,8.78249666353068,7.785579572219549,7.451177892974615,3.1134933081203453,,,14.304086271341175,1.5065516340593694,109.18309976989258,2.490426561158096,0.0,,0.0,,37.36577427214003,61.67728071601194
2014-01-09 00:00:00+00:00,1389267000.0,-25200.0,39.739236,-104.990251,31.653750000000002,,19.29583333333333,28.705416666666665,30.29875,34.06333333333333,1012.25,,,63.75,3.1999999999999997,192.91666666666666,4.88,0.25,,0.25,,51.833333333333336,802.25,1389308400,-25200,39.739236,-104.990251,51.12,,24.22,47.79,49.35,51.64,1017,,,87,6.02,347,17.25,0.25,,0.25,,100,804,1389225600,-25200,39.739236,-104.990251,17.78,,14.0,11.5,16.21,21.31,1005,,,23,1.14,20,2.3,0.25,,0.25,,0,800,25455.84412271571,0.0,0.0,0.0,11.113284965184297,,3.114145729279286,12.100639573167614,10.875695804826947,10.337694918688793,3.6025353391139325,,,24.022181778333636,1.7035972171440261,81.96124039774064,3.463274399353507,0.0,,0.0,,43.35963527307965,1.8237562766230464
2014-01-10 00:00:00+00:00,1389353400.0,-25200.0,39.739236,-104.990251,34.690000000000005,,13.362499999999999,29.32625,33.242916666666666,36.46083333333333,1006.7916666666666,,,39.125,8.404166666666667,235.54166666666666,17.29375,0.25,,0.25,,37.541666666666664,801.8333333333334,1389394800,-25200,39.739236,-104.990251,42.31,,21.83,39.83,41.79,44.31,1009,,,68,25.3,347,37.94,0.25,,0.25,,93,804,1389312000,-25200,39.739236,-104.990251,28.44,,4.82,22.21,26.64,30.34,1004,,,24,1.14,0,2.3,0.25,,0.25,,0,800,25455.84412271571,0.0,0.0,0.0,4.604229624462986,,5.827513639399851,4.674473523017464,4.946304267409869,4.392842910983696,1.5874279625330356,,,14.096908387549256,6.787685727568114,118.99067525273335,11.639011541961501,0.0,,0.0,,31.906083877621164,1.4039282363260681
