"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"02/25/2015","44","Ozone","Mines Peak","08-019-0006","AQS","66","28","52.4","02/25/2011","02/25/2003"
"02/26/2015","45","Ozone","Mines Peak","08-019-0006","AQS","99","33","63.6","02/26/2019","02/26/2002"
"02/27/2015","66","PM2.5","I-25","08-031-0027","AQS","79","37","60.4","02/27/2003","02/27/2000"
"02/28/2015","83","PM2.5","I-25","08-031-0027","AQS","105","42","62","02/28/2001","02/28/2007"
"03/01/2015","89","PM2.5","I-25","08-031-0027","AQS","88","33","58.4","03/01/2015","03/01/2002"
"03/02/2015","134","PM2.5","I-25","08-031-0027","AQS","134","38","66","03/02/2015","03/02/2009"
"03/03/2015","62","PM2.5","I-25","08-031-0027","AQS","64","44","55.2","03/03/2016","03/03/2005"
"03/04/2015","52","PM2.5","I-25","08-031-0027","AQS","130","44","62.6","03/04/2001","03/04/2007"
"03/05/2015","73","PM2.5","I-25","08-031-0027","AQS","95","39","70.8","03/05/2019","03/05/2008"
"03/06/2015","74","PM2.5","I-25","08-031-0027","AQS","153","44","76","03/06/2019","03/06/2002"
"03/07/2015","63","PM2.5","I-25","08-031-0027","AQS","89","44","61.6","03/07/2019","03/07/2003"
"03/08/2015","57","PM2.5","I-25","08-031-0027","AQS","79","38","55.8","03/08/2019","03/08/2006"
"03/09/2015","63","PM2.5","I-25","08-031-0027","AQS","64","42","49.6","03/09/2008","03/09/2009"
"03/10/2015","57","PM2.5","I-25","08-031-0027","AQS","80","38","50.8","03/10/2013","03/10/2006"
"03/11/2015","58","PM2.5","I-25","08-031-0027","AQS","64","40","53.2","03/11/2012","03/11/2001"
"03/12/2015","57","PM2.5","I-25","08-031-0027","AQS","73","37","54.6","03/12/2001","03/12/2007"
"03/13/2015","52","PM2.5","I-25","08-031-0027","AQS","64","38","50","03/13/2011","03/13/2002"
"03/14/2015","58","Ozone","Mines Peak","08-019-0006","AQS","64","41","54.6","03/14/2018","03/14/2002"
"03/15/2015","54","Ozone","Mines Peak","08-019-0006","AQS","84","34","52.6","03/15/2006","03/15/2000"
"03/16/2015","58","Ozone","Mines Peak","08-019-0006","AQS","64","43","55.2","03/16/2001","03/16/2004"
"03/17/2015","62","PM2.5","I-25","08-031-0027","AQS","107","30","54","03/17/2000","03/17/2003"
"03/18/2015","65","PM2.5","I-25","08-031-0027","AQS","74","31","60","03/18/2016","03/18/2003"
"03/19/2015","55","PM2.5","I-25","08-031-0027","AQS","93","27","62.4","03/19/2016","03/19/2006"
"03/20/2015","54","Ozone","Aurora East","08-005-0006","AQS","87","36","52.8","03/20/2003","03/20/2000"
"03/21/2015","50","Ozone","ROCKY FLATS-N","08-059-0006","AQS","73","40","54","03/21/2017","03/21/2000"
"03/22/2015","47","Ozone","Aurora East","08-005-0006","AQS","107","42","53.4","03/22/2006","03/22/2005"
