"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2020","39","Ozone","La Casa","08-031-0026","AQS","86","25","65.2","01/01/2001","01/01/2014"
"01/02/2020","36","PM2.5","Globeville","08-031-0028","AQS","89","25","55.8","01/02/2008","01/02/2013"
"01/03/2020","38","PM2.5","Globeville","08-031-0028","AQS","106","12","51.4","01/03/2005","01/03/2002"
"01/04/2020","36","Ozone","La Casa","08-031-0026","AQS","102","13","65.4","01/04/2016","01/04/2002"
"01/05/2020","32","Ozone","La Casa","08-031-0026","AQS","78","24","60.4","01/05/2016","01/05/2012"
"01/06/2020","37","Ozone","La Casa","08-031-0026","AQS","101","22","59.2","01/06/2004","01/06/2012"
"01/07/2020","40","PM2.5","Globeville","08-031-0028","AQS","113","31","52","01/07/2004","01/07/2002"
"01/08/2020","43","PM2.5","Globeville","08-031-0028","AQS","106","25","59.4","01/08/2018","01/08/2012"
"01/09/2020","32","Ozone","La Casa","08-031-0026","AQS","95","20","64.2","01/09/2016","01/09/2012"
"01/10/2020","40","PM2.5","Globeville","08-031-0028","AQS","97","25","62","01/10/2016","01/10/2004"
"01/11/2020","62","PM2.5","Globeville","08-031-0028","AQS","90","22","48.8","01/11/2005","01/11/2012"
"01/12/2020","35","Ozone","La Casa","08-031-0026","AQS","96","22","54.4","01/12/2011","01/12/2013"
"01/13/2020","54","PM2.5","Globeville","08-031-0028","AQS","75","17","58.4","01/13/2017","01/13/2007"
"01/14/2020","64","PM2.5","Globeville","08-031-0028","AQS","103","19","51.8","01/14/2005","01/14/2013"
"01/15/2020","44","PM2.5","Globeville","08-031-0028","AQS","101","21","48","01/15/2005","01/15/2013"
"01/16/2020","61","PM2.5","Globeville","08-031-0028","AQS","95","25","53.4","01/16/2005","01/16/2012"
"01/17/2020","60","PM2.5","Globeville","08-031-0028","AQS","108","28","53","01/17/2001","01/17/2012"
"01/18/2020","39","PM2.5","Globeville","08-031-0028","AQS","81","28","54.8","01/18/2016","01/18/2003"
"01/19/2020","58","PM2.5","Globeville","08-031-0028","AQS","113","26","45","01/19/2004","01/19/2006"
"01/20/2020","63","PM2.5","Globeville","08-031-0028","AQS","95","26","40.6","01/20/2000","01/20/2003"
"01/21/2020","103","PM2.5","Globeville","08-031-0028","AQS","67","26","41.8","01/21/2000","01/21/2015"
"01/22/2020","52","PM2.5","Globeville","08-031-0028","AQS","78","31","45.2","01/22/2007","01/22/2006"
"01/23/2020","51","PM2.5","Globeville","08-031-0028","AQS","70","15","43.6","01/23/2016","01/23/2003"
"01/24/2020","60","PM2.5","Globeville","08-031-0028","AQS","94","19","43","01/24/2008","01/24/2002"
"01/25/2020","55","PM2.5","Globeville","08-031-0028","AQS","71","23","41","01/25/2001","01/25/2002"
"01/26/2020","37","PM2.5","Globeville","08-031-0028","AQS","81","24","41.2","01/26/2000","01/26/2011"
"01/27/2020","58","PM2.5","Globeville","08-031-0028","AQS","73","20","41","01/27/2005","01/27/2011"
"01/28/2020","52","PM2.5","Globeville","08-031-0028","AQS","85","26","37.8","01/28/2005","01/28/2011"
"01/29/2020","53","PM2.5","Globeville","08-031-0028","AQS","65","20","43.2","01/29/2010","01/29/2002"
